relative_path,github_url,chunks,max_ratio,avg_ratio,worst_chunk_id,worst_source_chars,worst_target_chars,worst_target_preview
troubleshooting.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/troubleshooting.md,12,2.97,1.5,6,635,214,모델을 [~TFPretrainedModel.savepretrained]로 저장하고 [~TFPreTrainedModel.frompretrained]로 다시 가져옵니다: 특히 최신 모델인 경우 만날 수 있는 다른 일반적인 오류는 ImportError입니다: 이러한 오류 유형의 경우 최신 모델에 액세스할 수 있도록 최신 버전의
model_doc/smolvlm.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/smolvlm.md,4,2.77,1.63,3,560,202,"다음은 리사이징을 제어하고 사용자 정의 크기로 변경하는 방법입니다: 또한, maximagesize 매개변수는 이미지를 분할하는 정사각형 패치의 크기를 제어합니다. 이 값은 기본적으로 512로 설정되어 있으며 필요에 따라 조정 가능합니다. 이미지 처리기는 리사이징을 마친 후, maximagesize 값을 기준으로 이미지를 "
pipeline_webserver.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/pipeline_webserver.md,11,2.76,1.37,6,530,192,"큐에 아무것도 없을 때 추론을 원하는 경우에는 최선의 방법이 아닐 수 있습니다. 하지만 배치 작업이 사용례에 따라 정말로 중요하다면 의미가 있을 수도 있습니다. 메모리가 모자라거나, 공간이 부족하거나, 모델을 가져오는 데에 실패하거나, 쿼리가 잘못되었거나, 쿼리는 정확해도 모델 설정이 잘못되어 실행에 실패하는 등등 많은 "
tasks/sequence_classification.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/tasks/sequence_classification.md,11,2.57,1.92,9,544,212,"[TrainingArguments]에서 하이퍼파라미터를 정의하세요. outputdir는 모델을 저장할 위치를 지정하는 유일한 파라미터입니다. 이 모델을 Hub에 업로드하기 위해 pushtohub=True를 설정합니다. (모델을 업로드하기 위해 Hugging Face에 로그인해야합니다.) 각 에폭이 끝날 때마다, [Trai"
tasks/asr.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/tasks/asr.md,14,2.52,1.78,6,486,193,위의 'transcription'에서 볼 수 있듯이 텍스트는 대문자와 소문자가 섞여 있습니다. Wav2Vec2 토크나이저는 대문자 문자에 대해서만 훈련되어 있으므로 텍스트가 토크나이저의 어휘와 일치하는지 확인해야 합니다: 이제 다음 작업을 수행할 전처리 함수를 만들어보겠습니다: audio 열을 호출하여 오디오 파일을 가져
fsdp.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/fsdp.md,10,2.52,1.52,6,735,292,FSDP는 네트워크의 각 레이어를 래핑하여 적용됩니다. 래핑은 일반적으로 중첩 방식으로 적용되며 각각 순방향으로 지나간 후 전체 가중치를 삭제하여 다음 레이어에서 사용할 메모리를 절약합니다. 자동 래핑 정책은 이를 구현하는 가장 간단한 방법이며 코드를 변경할 필요가 없습니다. Transformer 레이어를 래핑하려면 fs
tasks/keypoint_detection.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/tasks/keypoint_detection.md,4,2.46,1.84,1,494,201,키포인트 감지(Keypoint detection)은 이미지 내의 특정 포인트를 식별하고 위치를 탐지합니다. 이러한 키포인트는 랜드마크라고도 불리며 얼굴 특징이나 물체의 일부와 같은 의미 있는 특징을 나타냅니다. 키포인트 감지 모델들은 이미지를 입력으로 받아 아래와 같은 출력을 반환합니다. 키포인트들과 점수: 관심 포인트들
model_doc/albert.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/albert.md,10,2.41,1.51,4,878,365,"BERT는 절대 위치 임베딩을 사용하므로, 오른쪽에 입력이 패딩돼야 합니다. 임베딩 크기 E는 히든 크기 H와 다릅니다. 임베딩은 문맥에 독립적(각 토큰마다 하나의 임베딩 벡터)이고, 은닉 상태는 문맥에 의존적(토큰 시퀀스마다 하나의 은닉 상태)입니다. 임베딩 행렬은 V x E(V: 어휘 크기)이므로, 일반적으로 H >>"
model_doc/llama3.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/llama3.md,7,2.33,1.62,5,1014,436,"기본 모델은 패딩 토큰이 없다는 것을 의미하는 padid = -1을 사용합니다. 같은 로직을 사용할 수 없으니 tokenizer.addspecialtokens({""padtoken"":"" ""})를 사용하여 토큰을 추가하고 임베딩 크기도 확실히 조정해야 합니다. model.config.padtokenid도 설정이 필요합니다. "
model_doc/autoformer.md,https://github.com/huggingface/transformers/blob/main/docs/source/ko/model_doc/autoformer.md,3,2.31,1.97,2,1567,678,예측 시간을 연장하는 것은 극한 기상 조기 경보 및 장기 에너지 소비 계획과 같은 실제 응용 프로그램에 중요한 요구 사항입니다. 본 논문은 시계열의 장기 예측 문제를 연구합니다. 기존의 트랜스포머 기반 모델들은 장거리 종속성을 발견하기 위해 다양한 셀프 어텐션 메커니즘을 채택합니다. 그러나 장기 미래의 복잡한 시간적 패턴
